Explanatory variables,Median,MAD,P left,P right,Rhat,Bulk ESS,Tail ESS
Intercept,-0.40,0.62,NA,NA,1.00,3751.86,2543.03
CSI with TY,0.39,0.17,0.03,0.97,1.00,4019.87,2919.62
No. of kin females in network,0.17,0.13,0.19,0.81,1.00,4001.82,3239.79
Ordinal rank,0.02,0.05,0.40,0.60,1.00,3884.31,3077.55
