Explanatory variables,Median,MAD,P left,P right,Rhat,Bulk ESS,Tail ESS
Intercept,0.47,0.78,NA,NA,1.00,4209.27,2829.97
CSI with IT,-0.16,0.23,0.72,0.28,1.00,4474.22,2671.87
No. of kin females in network,0.37,0.18,0.07,0.93,1.00,4406.71,3024.20
Ordinal rank,0.05,0.06,0.29,0.71,1.00,4247.02,3069.71
