Explanatory variables,Median,MAD,P left,P right,Rhat,Bulk ESS,Tail ESS
Intercept,1.47,0.75,NA,NA,1.00,2826.76,2301.37
CSI with TY,0.14,0.23,0.37,0.63,1.00,3054.51,2429.09
Ordinal rank,-0.46,0.14,0.95,0.05,1.00,3152.95,2422.43
