x,predicted,conf.low,conf.high,group
0,0.4605626912419032,0.4041720514783605,0.5169703254188243,absent
0,0.5545076724929768,0.4966440542308843,0.6095909316998559,present
1,0.45951310732823997,0.4034513271294931,0.5155051578840533,absent
1,0.5528107693160516,0.49493242400670207,0.6073242714626071,present
2,0.45851519695395326,0.4029541248742159,0.5143118483989777,absent
2,0.5510780015913744,0.49382107432180883,0.6054919715786076,present
3,0.45747700240874,0.40284558724641634,0.51355097338781,absent
3,0.5494102941698874,0.4927081601040851,0.6037617714571867,present
4,0.4564305612070673,0.4017301529713802,0.5117063164598986,absent
4,0.5477180013728251,0.4912430802617328,0.6017068599613951,present
5,0.4553999820669183,0.4003853865046054,0.5095662387838885,absent
5,0.5460477694657079,0.49005413934577985,0.5999348950585327,present
6,0.4543788558605413,0.39991545714414245,0.5084572467308316,absent
6,0.5443640658490679,0.48856011474752825,0.5979763306478687,present
7,0.45330160713982764,0.3994305566069085,0.5072702429399482,absent
7,0.542675953254728,0.48720219677830906,0.5960684982423002,present
8,0.4521992187550975,0.3982380174967425,0.5056628631828322,absent
8,0.5409986782500139,0.48641966119663466,0.5947922438152936,present
9,0.4511486124675923,0.39751101752330453,0.5043835004605518,absent
9,0.5393318253644319,0.4839829586326141,0.5918675246349681,present
10,0.4500867807869176,0.39846188025080864,0.5049084627542838,absent
10,0.5376505513500354,0.4826383924852425,0.589828938332573,present
11,0.4490255477646991,0.3973515647712386,0.5032909131790861,absent
11,0.5359426196002187,0.4813245965496436,0.5881083130980349,present
12,0.4479397113676644,0.39661223597520173,0.5021609458041275,absent
12,0.5342304481277792,0.4804225413951252,0.5867324099443711,present
13,0.4468919203985407,0.3952937031561375,0.5003657007762182,absent
13,0.5325496027619775,0.47866571758646553,0.5845771067475631,present
14,0.4459112850239222,0.39440647543107593,0.4991309118020486,absent
14,0.5308560041915278,0.4771387862525219,0.5826412141858944,present
15,0.4448126090963174,0.3923587860174882,0.4966732241594492,absent
15,0.5291311670271488,0.4752901585430897,0.5802688702437677,present
16,0.4437137984581524,0.39344854053705913,0.49746109721876874,absent
16,0.5274563233751117,0.4735202972608801,0.5782143506231581,present
17,0.4426392399799132,0.39246760171556805,0.4958988975111104,absent
17,0.5257556374370472,0.47270663079541375,0.5771556546709518,present
18,0.4416074500995521,0.39171700715306795,0.49469985659074184,absent
18,0.5240659228148995,0.47036295292974967,0.5744575001117131,present
19,0.44057241819819853,0.3897280873814674,0.4923469053659614,absent
19,0.5223521766377255,0.4699255707649714,0.5737033561307272,present
20,0.43953388096989793,0.3891661432160336,0.4914762523072322,absent
20,0.5205702530477865,0.46766085368246557,0.5712138679606913,present
21,0.4385206917073306,0.38857340821236097,0.490624899961761,absent
21,0.518830481712638,0.4668795213388855,0.5703042139404347,present
22,0.43749481623193714,0.38631802808752425,0.4882028181060595,absent
22,0.5171168905503457,0.4645345634989068,0.5677476749003274,present
23,0.43648213314175216,0.3858103069474662,0.4874629507838527,absent
23,0.5154210800377154,0.46283481198039295,0.5659221354081773,present
24,0.43544490527308793,0.3845183601588363,0.4859230045529874,absent
24,0.513716519996224,0.4608926212161001,0.5640166158617361,present
25,0.43446631848470973,0.3836879200310506,0.4847713067298299,absent
25,0.5120339423772164,0.4603407804796789,0.5632234692651471,present
26,0.43347140063564893,0.38263437883331824,0.483574276147655,absent
26,0.5103406798564657,0.4584641604984936,0.561315701979699,present
27,0.43243109728325035,0.38137672075305956,0.4821935701543843,absent
27,0.5085685186347461,0.4569392616212463,0.5596992123298722,present
28,0.4313879658045691,0.38058479847357723,0.4812150638913777,absent
28,0.5068175733896072,0.4544465073764843,0.5574567399085275,present
29,0.4303472129677979,0.378799334502815,0.47922703086554264,absent
29,0.5051215061764089,0.4528658929360656,0.5559555786057372,present
30,0.42929072023534803,0.3781153108523945,0.4783472741041819,absent
30,0.5033790710806098,0.4501097518644473,0.5532851235769727,present
31,0.42821910587356704,0.37704791461253473,0.4774036996878906,absent
31,0.5016118190644195,0.4479099924108402,0.5509762442493314,present
32,0.4271716125425681,0.3770295701962718,0.4773585851975728,absent
32,0.4998184570312025,0.4458666159008167,0.5489741713591207,present
33,0.4261192494497567,0.37563339155135533,0.47587395008209765,absent
33,0.49807543092878315,0.44449169504699465,0.5476652524403073,present
34,0.4251027734142517,0.37483420105711684,0.4750495752322358,absent
34,0.4963765722127063,0.4463649336097464,0.5495836909848293,present
35,0.42406568798197136,0.37406767615598263,0.47428972333636593,absent
35,0.4946404270977871,0.4417517657447515,0.5449886952301761,present
36,0.423017889038282,0.37460966769661397,0.47492847188431864,absent
36,0.49293233680897597,0.44230867790281314,0.5455732402123961,present
37,0.4219355276930844,0.37331502053003845,0.4735313365506789,absent
37,0.491194763694633,0.44035946825501643,0.5436910306089323,present
38,0.42085262630458664,0.37237331310869454,0.4725695233458896,absent
38,0.48942923755430784,0.4387621716413932,0.5421563675314612,present
39,0.41980025552656713,0.37082179341489546,0.4709538854601191,absent
39,0.48763077392643794,0.435789471755865,0.539270564364589,present
40,0.4187326057339438,0.3687490355489175,0.46882282464981934,absent
40,0.48586005875148885,0.4345737859249221,0.5381639007843335,present
41,0.4176547059843914,0.3686347223628028,0.4687963835300307,absent
41,0.48416904620764045,0.43276643412455207,0.5364510887574344,present
42,0.4166181787031368,0.3678074765674766,0.46795490590763367,absent
42,0.48241675107469917,0.43154044002360087,0.535517639521266,present
43,0.41555472867001025,0.36613692783522533,0.4664104237226354,absent
43,0.48061068208458674,0.4297457731950964,0.5338574074770149,present
44,0.41449919626783677,0.36424720381343423,0.4645870796940464,absent
44,0.47887250374352125,0.4280677239586233,0.5323330521117997,present
45,0.41344907159646244,0.36321385114448357,0.4635420455653214,absent
45,0.4770860108677413,0.4242929429226202,0.5286692544447045,present
46,0.412385646002665,0.36203834689377984,0.4624224228969594,absent
46,0.47530313620270626,0.4247931028855615,0.5294080517018741,present
47,0.41129874775301706,0.3623219591587034,0.4630396855845873,absent
47,0.47353388338586333,0.422125780049572,0.5269106847430395,present
48,0.41022249188131044,0.3609603803322822,0.4617285067119838,absent
48,0.4717361577168319,0.4198591325773552,0.5247606340151941,present
49,0.4092006415684256,0.3604206210790439,0.4613592410193997,absent
49,0.46986448103147005,0.4178171372205457,0.5228000398846643,present
50,0.4081165573908856,0.35987862068807647,0.4608808782078846,absent
50,0.46808406595466234,0.41608914903493177,0.5213293697176237,present
51,0.40699980710317585,0.3577055144180323,0.4587336872088114,absent
51,0.4662991452199637,0.41343517371144606,0.5189164990332473,present
52,0.4059302632870311,0.3566416530231356,0.45768044202695274,absent
52,0.4644316705819959,0.41134986020228353,0.5170589659142697,present
53,0.40479839194899464,0.35621386214647005,0.4574206716083961,absent
53,0.46263607121587946,0.4082733216002589,0.5141975159638903,present
54,0.40370029492608894,0.3546368053342441,0.4558564228618981,absent
54,0.4608597337662223,0.4065417351343888,0.5127021094393528,present
55,0.4026363793564227,0.3534765766425132,0.45499305529239925,absent
55,0.45902657777132594,0.40525367392647244,0.5116296997643105,present
56,0.4014982016247921,0.352175651986547,0.4538895682816028,absent
56,0.4572194844610924,0.4028935160891934,0.5094902888357777,present
57,0.4004209951304301,0.35093876892620385,0.45278514479441034,absent
57,0.45539697056784517,0.40375583256529685,0.5106792064462679,present
58,0.3993348293474766,0.34984943355481474,0.45194334418953075,absent
58,0.4535601970507443,0.40083064823702047,0.5079307674262946,present
59,0.3981951138223358,0.34798365834272826,0.4502374352298972,absent
59,0.4517282904438559,0.3991712515825682,0.5064968282434806,present
60,0.3971093686370883,0.3471170425202702,0.4495811849156174,absent
60,0.44992485159390627,0.3974483999845249,0.5050335039876453,present
61,0.3959888430247756,0.3447563743046528,0.4472633596622792,absent
61,0.44809912888845727,0.3958698066734929,0.5035990464183444,present
62,0.3949119289479616,0.3463445656400977,0.4491276197511111,absent
62,0.4462637699202571,0.3938605034089638,0.5017844382805778,present
63,0.39379918528676494,0.3428781764935748,0.4455562659546496,absent
63,0.4443924898384862,0.39206536226241917,0.5001335629150564,present
64,0.3926877544060776,0.3418183828297744,0.44466121456688235,absent
64,0.44258422110109963,0.39017993752022956,0.49835248652633046,present
65,0.39156977214104877,0.3411578654615107,0.44425221338297466,absent
65,0.4406881623679078,0.38659414537818626,0.49497651107580876,present
66,0.3904620024274036,0.3381826867211678,0.4412110427724478,absent
66,0.4388220414863898,0.3858377550985199,0.49447072487307536,present
67,0.38932617791136337,0.3394245677333588,0.4428322497156151,absent
67,0.4369448807550848,0.38410891996751656,0.4930332643343354,present
68,0.3881804257389949,0.33722478790299776,0.44060631216693397,absent
68,0.435079300968245,0.38307563224294366,0.4922269135195982,present
69,0.3870654289333809,0.33621208174875034,0.4396278784848201,absent
69,0.43317690697263644,0.3803321337597801,0.4896262199759714,present
70,0.38596449458810866,0.3345507482436532,0.437902335600426,absent
70,0.4313109163278781,0.378718700246211,0.4881267594451973,present
71,0.3848080102330726,0.33334155060562787,0.4367765313919401,absent
71,0.4294414928102321,0.37642292485027284,0.4859898999167478,present
72,0.3836441842328798,0.3325973075839417,0.4362739577782703,absent
72,0.4275383687789147,0.37467354125490177,0.48443734790075904,present
73,0.38255598613938085,0.33159098747128496,0.4353195614775302,absent
73,0.4257075614691305,0.3722114122899592,0.4821606640214148,present
74,0.3814163399789864,0.330736859097278,0.43457229045655776,absent
74,0.4238609562025203,0.36844963325256563,0.47841646782881186,present
75,0.38025384869632467,0.32961462445411915,0.43348339359380306,absent
75,0.4220507314749073,0.3668469510587217,0.476944761865944,present
76,0.3791658834780834,0.3282399865389116,0.4321708898430531,absent
76,0.42022950369525797,0.3651416466262607,0.47538790088851285,present
77,0.37802631368620293,0.32757761490513326,0.43160748969131735,absent
77,0.418359056172621,0.36360409341767325,0.47398155702234746,present
78,0.37686406540577805,0.32619006260192523,0.4302323015238317,absent
78,0.41648780439585914,0.3610767771656117,0.47160810751866,present
79,0.3757819476916751,0.32565575241750777,0.42986003136818635,absent
79,0.41464834070450485,0.35944282403253547,0.4700877395301813,present
80,0.3746510949838982,0.3247653459779371,0.4290478356238226,absent
80,0.4128037537025946,0.35653288466341126,0.4672333081722796,present
81,0.37356773626517487,0.32378712486794436,0.4281715506464926,absent
81,0.4109543941970278,0.3551866569114998,0.46584352858151445,present
82,0.37241291091250983,0.3220529302082625,0.42634032282015916,absent
82,0.4090979480024473,0.3531585929202829,0.463862924460144,present
83,0.37124948564946364,0.3211306935208512,0.4254647265021784,absent
83,0.40724232143587324,0.35128112105728393,0.4620264066480435,present
84,0.37011143001987085,0.32025475063644354,0.42461173740915326,absent
84,0.405389647097706,0.34969855816199796,0.46065117081633356,present
85,0.3689797390740251,0.31922208336993196,0.4236464597793718,absent
85,0.403526610568033,0.34781163040044827,0.4589963343563057,present
86,0.3678578226243541,0.31656032091090974,0.42076236952711715,absent
86,0.40170277417772876,0.3468584717776949,0.45830214947893944,present
87,0.3667939147416697,0.3148065651446241,0.4189156225768129,absent
87,0.3998367601843356,0.3459634135505978,0.4575240940917988,present
88,0.3656533788942726,0.31376008891080326,0.4179270730082158,absent
88,0.3980326522027158,0.34429208578093257,0.45598224647290186,present
89,0.36449773294197696,0.31246293402478903,0.41671018593197157,absent
89,0.39622854592628043,0.3423052854430018,0.45415720897523443,present
90,0.36337185030384594,0.311564602140106,0.41588770754282695,absent
90,0.39444444634649867,0.34044015832620383,0.45243115792220717,present
91,0.3622551052190734,0.31003870907253706,0.41436502069844294,absent
91,0.3926841464739154,0.3383116554439749,0.4504777871668775,present
92,0.3611865770902839,0.3092665687191822,0.41360951960317377,absent
92,0.3909342047647653,0.33533361900783115,0.4474523336458202,present
93,0.3600474866254565,0.30866258005261554,0.4131452136941058,absent
93,0.38917889975431963,0.33356506658232077,0.4457713036098744,present
94,0.35891505147148667,0.3073242421603904,0.41179724909860893,absent
94,0.3874160232049374,0.3324137945648588,0.44485864826715316,present
95,0.35777350067982777,0.3062832135307354,0.4109492243188706,absent
95,0.3857054458120135,0.330753903157862,0.4431830486700673,present
96,0.35670724734896453,0.30519616217215984,0.41001520442077133,absent
96,0.38397359189254426,0.3292078844145726,0.44184459751743554,present
97,0.3555987946801362,0.304186783039782,0.4090780228524637,absent
