contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,23,0.12636964071768253,-0.027551729465575506,0.28992983595665217
present effect,23,-0.12636964071768253,-0.28992983595665217,0.027551729465575506
absent effect,24,0.12482628815493697,-0.027415154299670272,0.28933188713845037
present effect,24,-0.12482628815493697,-0.28933188713845037,0.027415154299670272
absent effect,25,0.12329363494714904,-0.035611135529960106,0.2806063128008221
present effect,25,-0.12329363494714904,-0.2806063128008221,0.035611135529960106
absent effect,26,0.12177207221250616,-0.03768092060609688,0.2777550292248038
present effect,26,-0.12177207221250616,-0.2777550292248038,0.03768092060609688
absent effect,27,0.12025423451418077,-0.03907631948646126,0.27526558580869337
present effect,27,-0.12025423451418077,-0.27526558580869337,0.03907631948646126
absent effect,28,0.11878213512502639,-0.04017284589352695,0.2736154521850703
present effect,28,-0.11878213512502639,-0.2736154521850703,0.04017284589352695
absent effect,29,0.11710515811231784,-0.03818384422844319,0.2755463351596285
present effect,29,-0.11710515811231784,-0.2755463351596285,0.03818384422844319
absent effect,30,0.11564501112364647,-0.03793937491032691,0.2751640635357831
present effect,30,-0.11564501112364647,-0.2751640635357831,0.03793937491032691
absent effect,31,0.11430682803474876,-0.03897298279707737,0.2733464212607683
present effect,31,-0.11430682803474876,-0.2733464212607683,0.03897298279707737
absent effect,32,0.11290460383668623,-0.041635907686246254,0.270016064479192
present effect,32,-0.11290460383668623,-0.270016064479192,0.041635907686246254
absent effect,33,0.11151985429404693,-0.0440726339295071,0.2673704078836028
present effect,33,-0.11151985429404693,-0.2673704078836028,0.0440726339295071
absent effect,34,0.11006685854581788,-0.047108597213062535,0.2646857298177815
present effect,34,-0.11006685854581788,-0.2646857298177815,0.047108597213062535
absent effect,35,0.10865636327943476,-0.04460349458965714,0.26728778258599273
present effect,35,-0.10865636327943476,-0.26728778258599273,0.04460349458965714
absent effect,36,0.10716280518866972,-0.04656861071614271,0.26566630949138337
present effect,36,-0.10716280518866972,-0.26566630949138337,0.04656861071614271
absent effect,37,0.10595708658377573,-0.05043571526199493,0.2625835474139546
present effect,37,-0.10595708658377573,-0.2625835474139546,0.05043571526199493
absent effect,38,0.10452507901328689,-0.05119249596746171,0.2623300028912014
present effect,38,-0.10452507901328689,-0.2623300028912014,0.05119249596746171
absent effect,39,0.10312899232667272,-0.0526143178743452,0.2612667616700304
present effect,39,-0.10312899232667272,-0.2612667616700304,0.0526143178743452
absent effect,40,0.10163054670418731,-0.054191240573920156,0.26002627322856975
present effect,40,-0.10163054670418731,-0.26002627322856975,0.054191240573920156
absent effect,41,0.10021654447976502,-0.05596095925533886,0.2589473787006018
present effect,41,-0.10021654447976502,-0.2589473787006018,0.05596095925533886
absent effect,42,0.09875379012144879,-0.057614281058273764,0.25791924203682226
present effect,42,-0.09875379012144879,-0.25791924203682226,0.057614281058273764
absent effect,43,0.09755004553489804,-0.058056617968302575,0.2583786944266843
present effect,43,-0.09755004553489804,-0.2583786944266843,0.058056617968302575
absent effect,44,0.0961501117347873,-0.0605917387317602,0.2565341162904195
present effect,44,-0.0961501117347873,-0.2565341162904195,0.0605917387317602
absent effect,45,0.09476463569120042,-0.06415148552294737,0.2539974851431844
present effect,45,-0.09476463569120042,-0.2539974851431844,0.06415148552294737
absent effect,46,0.09338223242679061,-0.06669912731337309,0.2525388613129913
present effect,46,-0.09338223242679061,-0.2525388613129913,0.06669912731337309
absent effect,47,0.09206033956548082,-0.0681052863929642,0.25212358777972094
present effect,47,-0.09206033956548082,-0.25212358777972094,0.0681052863929642
absent effect,48,0.0907000284286966,-0.06954294193138455,0.25179498202719997
present effect,48,-0.0907000284286966,-0.25179498202719997,0.06954294193138455
absent effect,49,0.08941577561998397,-0.06944011377521273,0.2528142427037387
present effect,49,-0.08941577561998397,-0.2528142427037387,0.06944011377521273
absent effect,50,0.0882820213171451,-0.0727196321470752,0.2503464141003406
present effect,50,-0.0882820213171451,-0.2503464141003406,0.0727196321470752
absent effect,51,0.08689471129528312,-0.07432714291810538,0.2499317402188713
present effect,51,-0.08689471129528312,-0.2499317402188713,0.07432714291810538
absent effect,52,0.08568618062223524,-0.08049698287883986,0.24545829518703993
present effect,52,-0.08568618062223524,-0.24545829518703993,0.08049698287883986
absent effect,53,0.08447486100860087,-0.08310145126476157,0.24358476955819822
present effect,53,-0.08447486100860087,-0.24358476955819822,0.08310145126476157
absent effect,54,0.08340394431887826,-0.08526497305207954,0.24258847231936592
present effect,54,-0.08340394431887826,-0.24258847231936592,0.08526497305207954
absent effect,55,0.08225744670417344,-0.08733007985724073,0.24190313374094075
