contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,34,0.20028989257046229,-0.31549484181187026,0.7063481574927233
present effect,34,-0.20028989257046229,-0.7063481574927233,0.31549484181187026
absent effect,35,0.2030822237810259,-0.32636042295143974,0.6958809339143248
present effect,35,-0.2030822237810259,-0.6958809339143248,0.32636042295143974
absent effect,36,0.20638347365874643,-0.3153030913971986,0.7067802685118191
present effect,36,-0.20638347365874643,-0.7067802685118191,0.3153030913971986
absent effect,37,0.2098219840629222,-0.3117083729709131,0.7092851562105842
present effect,37,-0.2098219840629222,-0.7092851562105842,0.3117083729709131
absent effect,38,0.21338326683338837,-0.3088332451812256,0.71222688979603
present effect,38,-0.21338326683338837,-0.71222688979603,0.3088332451812256
absent effect,39,0.21658641870941092,-0.3019030863778495,0.7196471147486897
present effect,39,-0.21658641870941092,-0.7196471147486897,0.3019030863778495
absent effect,40,0.22007654306925784,-0.30203193907057174,0.7202634610251021
present effect,40,-0.22007654306925784,-0.7202634610251021,0.30203193907057174
absent effect,41,0.2230419654034616,-0.28888922127145583,0.7336610471944169
present effect,41,-0.2230419654034616,-0.7336610471944169,0.28888922127145583
absent effect,42,0.22641688360262258,-0.28367539242097234,0.7386464956010015
present effect,42,-0.22641688360262258,-0.7386464956010015,0.28367539242097234
absent effect,43,0.22938315480127913,-0.28003461216539094,0.7416241658228143
present effect,43,-0.22938315480127913,-0.7416241658228143,0.28003461216539094
absent effect,44,0.2325520580500196,-0.2779209057239784,0.74394889335992
present effect,44,-0.2325520580500196,-0.74394889335992,0.2779209057239784
absent effect,45,0.2356519176847947,-0.27598530458270293,0.7459747994143715
present effect,45,-0.2356519176847947,-0.7459747994143715,0.27598530458270293
absent effect,46,0.238290145199146,-0.2724171724775332,0.7507466469505619
present effect,46,-0.238290145199146,-0.7507466469505619,0.2724171724775332
absent effect,47,0.24114336056119023,-0.2704418053661859,0.7539607432474704
present effect,47,-0.24114336056119023,-0.7539607432474704,0.2704418053661859
absent effect,48,0.2438188694326106,-0.26925025269697883,0.7561856227896093
present effect,48,-0.2438188694326106,-0.7561856227896093,0.26925025269697883
absent effect,49,0.24683564819309753,-0.26740124300406765,0.7588493552634229
present effect,49,-0.24683564819309753,-0.7588493552634229,0.26740124300406765
absent effect,50,0.24968833864395212,-0.2672544170867568,0.7603044181771474
present effect,50,-0.24968833864395212,-0.7603044181771474,0.2672544170867568
absent effect,51,0.25228646930318516,-0.2711843357537921,0.7575628460605792
present effect,51,-0.25228646930318516,-0.7575628460605792,0.2711843357537921
absent effect,52,0.25504282586457816,-0.26606893251724306,0.7641989098022761
present effect,52,-0.25504282586457816,-0.7641989098022761,0.26606893251724306
absent effect,53,0.2581892661295436,-0.27100545908262386,0.7606029654515338
present effect,53,-0.2581892661295436,-0.7606029654515338,0.27100545908262386
absent effect,54,0.2609954409889874,-0.2613874449647916,0.7711530017796885
present effect,54,-0.2609954409889874,-0.7711530017796885,0.2613874449647916
absent effect,55,0.2634030107877239,-0.2611644087644983,0.7740093058212264
present effect,55,-0.2634030107877239,-0.7740093058212264,0.2611644087644983
absent effect,56,0.2665772105779405,-0.2633466710605858,0.7744332585101756
present effect,56,-0.2665772105779405,-0.7744332585101756,0.2633466710605858
absent effect,57,0.2692095268699794,-0.25071403779787027,0.7891507655802416
present effect,57,-0.2692095268699794,-0.7891507655802416,0.25071403779787027
absent effect,58,0.27186714539258167,-0.2549249997226196,0.7865685407862552
present effect,58,-0.27186714539258167,-0.7865685407862552,0.2549249997226196
absent effect,59,0.2745339052484312,-0.25118249681444205,0.7918758119812426
present effect,59,-0.2745339052484312,-0.7918758119812426,0.25118249681444205
absent effect,60,0.2774230284035497,-0.24764196121779206,0.7977455738954479
present effect,60,-0.2774230284035497,-0.7977455738954479,0.24764196121779206
