x,predicted,conf.low,conf.high,group
0,0.6845442429877313,0.6133562638017421,0.7454355762532989,present
0,0.7197112017178552,0.4752881121772393,0.87149246514918155,absent
1,0.6820979572418373,0.6132999807271571,0.7448066329128115,present
1,0.718622394481517,0.47718309941995013,0.8715552072254282,absent
2,0.6796248684944352,0.6101394539322043,0.7417721649538084,present
2,0.7177030852123814,0.47824733648921675,0.8713040653055121,absent
3,0.6772109891740402,0.6080248197205723,0.7395570352810656,present
3,0.7167773876119058,0.474867072247577,0.8688590665087539,absent
4,0.6747159875247587,0.6059515853452692,0.7375002986810228,present
4,0.7158810929072742,0.47609995432675084,0.8688047131928046,absent
5,0.672112965720058,0.6018760436137812,0.7336448003787225,present
5,0.7148497874814588,0.47358877981336484,0.8666995846502633,absent
6,0.6695216542085047,0.6007306908412939,0.7322860747369053,present
6,0.7139239557574278,0.4738160607560585,0.8661999606631491,absent
7,0.6668829097724338,0.5988677562006708,0.7303039501221881,present
7,0.7128948998672173,0.4730644287353584,0.8653982250695887,absent
8,0.6643109692353072,0.594176907475716,0.7260260273833579,present
8,0.7118008068022684,0.4728801812959382,0.8648614304553437,absent
9,0.6617168804404249,0.5916857819356357,0.7236240710729472,present
9,0.7106840098212094,0.4763082810803835,0.8658546385630401,absent
10,0.6590907634448742,0.5888088055850003,0.7208131712638457,present
10,0.709707685958233,0.4753703709226459,0.8650832671617745,absent
11,0.6564975519700724,0.5854539687807574,0.7175902640010668,present
11,0.7087152729564636,0.475378596870771,0.8644529851854617,absent
12,0.6538729891460859,0.584994792972015,0.7167642342507683,present
12,0.7076910859977044,0.47467714239835473,0.8637749161760282,absent
13,0.6511660210464405,0.5828416575915689,0.7144830616939984,present
13,0.7066480652239284,0.4762662525042967,0.8639662579644819,absent
14,0.6484898315266566,0.5800685795453844,0.7117140892843015,present
14,0.7057480501184905,0.4751942943146227,0.8629090432200891,absent
15,0.6458927961289884,0.5777086359947127,0.7094924303354626,present
15,0.7046492017254886,0.47639141789524564,0.8627513428448486,absent
16,0.6433064967255459,0.5754010373671069,0.7072768838333928,present
16,0.7035587727910297,0.47467553222949366,0.8618380142842822,absent
17,0.6406412782659437,0.5732382761253492,0.7051649458545951,present
17,0.7026134753002397,0.47380647938228704,0.860812863536574,absent
18,0.6380079322595499,0.5702967133503187,0.7024255635474148,present
18,0.7016481374395425,0.47288124096681683,0.8603672891717025,absent
19,0.6353303413177614,0.5678895035546411,0.7001521230603619,present
19,0.7006273288464118,0.4731329948131004,0.8603370435143901,absent
20,0.6326385133899891,0.5646331506083548,0.6972954747542244,present
20,0.699606070262768,0.47224305581213427,0.8595976441442439,absent
21,0.6299631001676907,0.5615457469310148,0.6945048315065585,present
21,0.6985538312515146,0.4716013934997464,0.8590215450298591,absent
22,0.627215886966657,0.5567765707266019,0.6902124133808551,present
22,0.6975832866396776,0.4686394826564214,0.8572740059118483,absent
23,0.6245014025767672,0.5547098706293346,0.6881231708047679,present
23,0.6966042338192691,0.46999413115327937,0.8575475104750133,absent
24,0.6217827443205795,0.553043298588975,0.6867765433806324,present
